MONTH,CAT,Total
1,AMAZON,627.73
1,AMAZON-VIDEO,70.89
1,BEAN,661.35
1,CAB,87.15
1,CLEANER,60
1,DRYCLEAN,20.9
1,GROC/HOUSEHOLD,1903.54
1,INSURANCE,62.24
1,MEDICAL,391.65
1,MISC,86.01
1,NANNY,2578
1,RENT,4118
1,SEAMLESS,218.16
1,STORAGE,102
1,SUBSCRIPTIONS,6.25
1,TBD,82.31
1,UTILS,165.08
1,VACA,1403.72
2,AMAZON,607.18
2,AMAZON-VIDEO,55.92
2,BEAN,729.85
2,CAB,46.34
2,CLEANER,60
2,DRYCLEAN,30.9
2,GROC/HOUSEHOLD,1063.43
2,MEDICAL,190.2
2,MISC,2959.22
2,NANNY,720
2,RENT,4118
2,SEAMLESS,297.06
2,SHO,1278.74
2,STORAGE,102
2,UTILS,184.46
2,VACA,1356.74
3,AMAZON,671.23
3,AMAZON-VIDEO,73.89
3,BEAN,1154.39
3,CAB,43.04
3,DRYCLEAN,50.9
3,GROC/HOUSEHOLD,2506.85
3,INSURANCE,124.48
3,NANNY,4206
3,RENT,4118
3,SEAMLESS,500.89
3,SHO,19.49
3,STORAGE,102
3,SUBSCRIPTIONS,4.54
3,TBD,64.34
3,UTILS,166.67
4,AMAZON,418.48
4,AMAZON-VIDEO,68.9
4,BEAN,5
4,GROC/HOUSEHOLD,1373.27
4,INSURANCE,62.24
4,MEDICAL,774.91
4,MISC,59.89
4,NANNY,1510
4,RENT,4118
4,SEAMLESS,523.88
4,SHO,1452.87
4,STORAGE,112.2
4,SUBSCRIPTIONS,15.99
4,UTILS,189.31
5,AMAZON,769.86
5,AMAZON-VIDEO,43.95
5,BEAN,719.86
5,GROC/HOUSEHOLD,1387.16
5,INSURANCE,62.32
5,MISC,2520.93
5,NANNY,1250
5,RENT,4118
5,SEAMLESS,427
5,SHO,19.49
5,STORAGE,112.2
5,SUBSCRIPTIONS,26.87
5,TBD,76.6
5,UTILS,183.99
6,AMAZON,390.49
6,AMAZON-VIDEO,39.96
6,BEAN,410.11
6,GROC/HOUSEHOLD,1007.24
6,MEDICAL,76.08
6,MISC,247.03
6,NANNY,1000
6,RENT,4118
6,SEAMLESS,439.85
6,STORAGE,112.2
6,SUBSCRIPTIONS,23.99
6,UTILS,208.05
6,VACA,429.77